"","logFC","logCPM","PValue"
"319263",2.43196123924422,15.3897039170701,1
"72265",-2.2240696519491,15.3896909673453,1
"212442",-2.2240696519491,15.3896909673453,1
"19989",0.626800456331253,16.1266552907301,0.999999999999999
"98711",-2.2240696519491,15.3896909673453,1
"66755",-2.2240696519491,15.3896909673453,1
"68421",-2.2240696519491,15.3896909673453,1
"19243",-2.2240696519491,15.3896909673453,1
"13518",4.77364018500504,16.0271349354535,0.0312501840900912
"320011",-2.2240696519491,15.3896909673453,1
"20353",-3.0607720563698,15.5416916907395,0.500803010292361
"56030",-2.2240696519491,15.3896909673453,1
"226982",-2.2240696519491,15.3896909673453,1
"68833",-2.2240696519491,15.3896909673453,1
"114641",-2.2240696519491,15.3896909673453,1
"666642",2.43087607145061,15.3896909673453,1
"433297",1.60137292420387,15.8047472546495,0.62500029453926
"20324",2.43087607145061,15.3896909673453,1
"17912",3.2904859429147,15.5417046401835,0.500000196368709
"100042634",-2.2240696519491,15.3896909673453,1
"14660",-2.2240696519491,15.3896909673453,1
"81898",-2.2240696519491,15.3896909673453,1
"67876",3.29264996020206,15.5417175897437,0.500803010292361
"15510",-2.2240696519491,15.3896909673453,1
"66882",-3.0607720563698,15.5416916907395,0.500803010292361
"12633",-0.628810817125582,15.6792057937008,0.999999999999996
"74018",2.43087607145061,15.3896909673453,1
"100504573",2.43196123924422,15.3897039170701,1
"55949",-3.0607720563698,15.5416916907395,0.500000196368709
"12912",2.43196123924422,15.3897039170701,1
"17756",2.43196123924422,15.3897039170701,1
"19981",-3.97162453106622,15.8047213567684,0.125000294542947
"16011",-0.449600363219035,16.2197623253833,0.726562929543746
"21961",3.28903316871073,15.5416916907395,0.500803010292361
"76709",-3.0607720563698,15.5416916907395,0.500000196368709
"58184",2.43196123924422,15.3897039170701,1
"22145",2.43087607145061,15.3896909673453,1
"74241",2.43196123924422,15.3897039170701,1
"23874",-2.2240696519491,15.3896909673453,1
"74205",-2.2240696519491,15.3896909673453,1
"26554",-2.2240696519491,15.3896909673453,1
"64294",2.43087607145061,15.3896909673453,1
"17975",1.06641584652897,15.6791928445376,1
"19231",-0.984556552020945,16.1266552907301,0.453125644315349
"98402",-2.2240696519491,15.3896909673453,1
"171531",-2.2240696519491,15.3896909673453,1
"16978",0.207891587295114,15.5417046401835,1
"67921",2.43087607145061,15.3896909673453,1
"67444",-0.629895984919185,15.6791928445376,1
"18627",2.43196123924422,15.3897039170701,1
"65247",0.20607783697162,15.5416916907395,1
"18000",2.43087607145061,15.3896909673453,1
"18484",-2.2240696519491,15.3896909673453,1
"21934",2.43196123924422,15.3897039170701,1
"98432",-2.2240696519491,15.3896909673453,1
"76707",2.43087607145061,15.3896909673453,1
"13167",-3.0607720563698,15.5416916907395,0.500000196368709
"70829",0.206806863938522,15.5417046401835,1
"74117",-2.2240696519491,15.3896909673453,1
"74150",-2.2240696519491,15.3896909673453,1
"667090",0.206806863938522,15.5417046401835,1
"226412",-2.2240696519491,15.3896909673453,1
"240752",2.43087607145061,15.3896909673453,1
"20643",2.43196123924422,15.3897039170701,1
"70579",2.43087607145061,15.3896909673453,1
"240754",2.43087607145061,15.3896909673453,1
"12227",1.60137292420387,15.8047472546495,0.62500029453926
"75605",-2.2240696519491,15.3896909673453,1
"13710",-2.2240696519491,15.3896909673453,1
"226432",2.43087607145061,15.3896909673453,1
"13007",4.21481145837226,15.8047472546495,0.125000294542947
"27280",2.43087607145061,15.3896909673453,1
"18772",2.43087607145061,15.3896909673453,1
"66241",-2.2240696519491,15.3896909673453,1
"226442",2.43087607145061,15.3896909673453,1
"59125",-2.2240696519491,15.3896909673453,1
"214498",-2.2240696519491,15.3896909673453,1
"108989",0.20607783697162,15.5416916907395,1
"117198",0.20607783697162,15.5416916907395,1
"100503012",-2.2240696519491,15.3896909673453,1
"69399",3.2904859429147,15.5417046401835,0.500000196368709
"67771",-2.2240696519491,15.3896909673453,1
"226517",-2.2240696519491,15.3896909673453,1
"16782",4.21192503346358,15.8047213567684,0.126205479579971
"13211",-2.2240696519491,15.3896909673453,1
"14645",0.206806863938522,15.5417046401835,1
"15939",-2.2240696519491,15.3896909673453,1
"19775",2.43196123924422,15.3897039170701,1
"208263",-2.2240696519491,15.3896909673453,1
"240832",-2.2240696519491,15.3896909673453,1
"11352",2.43196123924422,15.3897039170701,1
"67647",3.29264996020206,15.5417175897437,0.500803010292361
"29809",2.43087607145061,15.3896909673453,1
"620750",-2.2240696519491,15.3896909673453,1
"14455",-2.2240696519491,15.3896909673453,1
"11758",-2.2240696519491,15.3896909673453,1
"226551",0.20607783697162,15.5416916907395,1
"226562",0.20607783697162,15.5416916907395,1
"240888",2.43087607145061,15.3896909673453,1
"74106",-2.2240696519491,15.3896909673453,1
"68481",0.20607783697162,15.5416916907395,1
"226594",2.43087607145061,15.3896909673453,1
"226646",-2.2240696519491,15.3896909673453,1
"21945",2.43196123924422,15.3897039170701,1
"27045",2.43196123924422,15.3897039170701,1
"71740",-2.2240696519491,15.3896909673453,1
"67556",2.43196123924422,15.3897039170701,1
"14194",2.43196123924422,15.3897039170701,1
"666295",-3.0607720563698,15.5416916907395,0.500803010292361
"51810",3.2904859429147,15.5417046401835,0.500000196368709
"320404",2.43014748892072,15.3896909673453,1
"208768",2.43196123924422,15.3897039170701,1
"13244",-2.2240696519491,15.3896909673453,1
"12334",2.43014748892072,15.3896909673453,1
"170725",-2.2240696519491,15.3896909673453,1
"19250",3.28903316871073,15.5416916907395,0.500803010292361
"68972",2.43196123924422,15.3897039170701,1
"11910",-0.628810817125582,15.6792057937008,0.999999999999996
"226856",-2.2240696519491,15.3896909673453,1
"100042625",2.43014748892072,15.3896909673453,1
"54139",-2.2240696519491,15.3896909673453,1
"16780",2.43196123924422,15.3897039170701,1
